DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-04-12,15:30:00,23:30:00,09:09:54,19:58:25,,211.6,44.1
2022-04-12,23:30:00,07:30:00,09:10:58,19:56:52,2022-04-13 09:10:58,480,100
2022-04-13,07:30:00,15:30:00,09:10:58,19:56:52,,101.0,21.0
2022-04-13,15:30:00,23:30:00,09:10:58,19:56:52,,213.1,44.4
2022-04-13,23:30:00,07:30:00,09:12:01,19:55:20,2022-04-14 09:12:01,480,100
2022-04-14,07:30:00,15:30:00,09:12:01,19:55:20,,102.0,21.3
2022-04-14,15:30:00,23:30:00,09:12:01,19:55:20,,214.7,44.7
2022-04-14,23:30:00,07:30:00,09:13:04,19:53:48,2022-04-15 09:13:04,480,100
2022-04-15,07:30:00,15:30:00,09:13:04,19:53:48,,103.1,21.5
2022-04-15,15:30:00,23:30:00,09:13:04,19:53:48,,216.2,45.0
2022-04-15,23:30:00,07:30:00,09:14:07,19:52:17,2022-04-16 09:14:07,480,100
2022-04-16,07:30:00,15:30:00,09:14:07,19:52:17,,104.1,21.7
2022-04-16,15:30:00,23:30:00,09:14:07,19:52:17,,217.7,45.4
2022-04-16,23:30:00,07:30:00,09:15:11,19:50:47,2022-04-17 09:15:11,480,100
2022-04-17,07:30:00,15:30:00,09:15:11,19:50:47,,105.2,21.9
2022-04-17,15:30:00,23:30:00,09:15:11,19:50:47,,219.2,45.7
2022-04-17,23:30:00,07:30:00,09:16:14,19:49:17,2022-04-18 09:16:14,480,100
2022-04-18,07:30:00,15:30:00,09:16:14,19:49:17,,106.2,22.1
2022-04-18,15:30:00,23:30:00,09:16:14,19:49:17,,220.7,46.0
2022-04-18,23:30:00,07:30:00,09:17:18,19:47:49,2022-04-19 09:17:18,480,100
2022-04-19,07:30:00,15:30:00,09:17:18,19:47:49,,107.3,22.4
2022-04-19,15:30:00,23:30:00,09:17:18,19:47:49,,222.2,46.3
2022-04-19,23:30:00,07:30:00,09:18:21,19:46:21,2022-04-20 09:18:21,480,100
2022-04-20,07:30:00,15:30:00,09:18:21,19:46:21,,108.4,22.6
2022-04-20,15:30:00,23:30:00,09:18:21,19:46:21,,223.7,46.6
2022-04-20,23:30:00,07:30:00,09:19:25,19:44:54,2022-04-21 09:19:25,480,100
2022-04-21,07:30:00,15:30:00,09:19:25,19:44:54,,109.4,22.8
2022-04-21,15:30:00,23:30:00,09:19:25,19:44:54,,225.1,46.9
2022-04-21,23:30:00,07:30:00,09:20:29,19:43:28,2022-04-22 09:20:29,480,100
2022-04-22,07:30:00,15:30:00,09:20:29,19:43:28,,110.5,23.0
2022-04-22,15:30:00,23:30:00,09:20:29,19:43:28,,226.5,47.2
2022-04-22,23:30:00,07:30:00,09:21:32,19:42:04,2022-04-23 09:21:32,480,100
2022-04-23,07:30:00,15:30:00,09:21:32,19:42:04,,111.5,23.2
2022-04-23,15:30:00,23:30:00,09:21:32,19:42:04,,227.9,47.5
2022-04-23,23:30:00,07:30:00,09:22:36,19:40:40,2022-04-24 09:22:36,480,100
2022-04-24,07:30:00,15:30:00,09:22:36,19:40:40,,112.6,23.5
2022-04-24,15:30:00,23:30:00,09:22:36,19:40:40,,229.3,47.8
2022-04-24,23:30:00,07:30:00,09:23:40,19:39:17,2022-04-25 09:23:40,480,100
2022-04-25,07:30:00,15:30:00,09:23:40,19:39:17,,113.7,23.7
2022-04-25,15:30:00,23:30:00,09:23:40,19:39:17,,230.7,48.1
2022-04-25,23:30:00,07:30:00,09:24:43,19:37:55,2022-04-26 09:24:43,480,100
2022-04-26,07:30:00,15:30:00,09:24:43,19:37:55,,114.7,23.9
